id	verdict	fix_gloss	note
h2p007	ok		
h2p095	ok		Arabic correct; reading illadhī is a tool quirk (should be alladhī)
h2p107	ok		
h2p135	ok		
h2p165	ok		
h2p187	ok		
h2p191	ok		
h2p211	ok		
h2p229	ok		
h2p230	ok		
h2p231	ok		
h2p236	ok		
h2p245	ok		
h2p250	ok		
h2p264	ok		
h2p298	ok		
h2p309	fix	هَا أَنَا هُنَا.	تَمَامًا is not idiomatic here; هَا أَنَا هُنَا = here I am
h2p323	ok		
h2p338	ok		
h2p361	ok		
h2p362	fix	هُوَ طَوِيلٌ.	جِدًّا adds very; Chinese/English just say tall
h2p374	fix	أَشْعُرُ بِالْبَرْدِ قَلِيلًا.	بِبَعْضِ الْبَرْدِ is unnatural
h2p384	ok		
h2p402	fix	لِنُغَنِّ جَمِيعًا!	جَمِيعًا مَعًا redundant; suggestion form for 吧
h2p406	ok		
h2p407	fix	أَتُرِيدُ أَرُزًّا أَمْ نُودِلْزَ؟	مَعْكَرُونَة is macaroni (Egyptian spelling); noodles = نُودِلْز
h2p429	fix	أَقَلُّ مَا أُحِبُّهُ هُوَ الِامْتِحَانَاتُ.	أَكْرَهُ...أَكْثَرَ مِنْ أَيِّ شَيْءٍ says hate most; Chinese is like least
h2p443	fix	نَفِدَ هٰذَا الصِّنْفُ.	نَفِدَ هٰذَا is not natural for sold out; specify item
h2p447	ok		
