id	verdict	fix_gloss	note
n001	ok		diminutive of طين
n002	ok		diminutive of وحل, mud
n003	ok		little ball of mud
n004	ok		a lump of clay/mud
n005	fix	بُطَيْطَةٌ	Durayna (tuber) suggests dirt/tuberculosis (درن); potato = بطاطا, so little-potato pet form
n006	ok		diminutive of فول
n007	fix	حُمَيْصَةٌ	Ḥubayba is a girl's given name (beloved); little chickpea/bean instead
n008	ok		little kaʿk, bun
n009	ok		diminutive of قرص, flat loaf
n010	ok		diminutive of حجر
n011	fix	صُخَيْرَةٌ	Ḥuṣayya sits too near خصية in speech; little rock/pebble instead
n012	ok		little lump, chunky
n013	fix	سُمَيِّنٌ	diminutive of بدين (fat) is بُدَيِّن not بُدَيْن; also too close to Budayr (n117); use plump سمين
n014	ok		croak; acceptable pet form
n015	ok		little ball
n016	fix	لُزَيِّجَةٌ	diminutive of adjective لزج must be فُعَيِّل
n017	ok		diminutive of فطر
n018	ok		diminutive of كمأة (truffle); mild drift, still a fungus
n019	ok		little piece of wood
n020	ok		little shrub/tree
n021	ok		diminutive of طحلب, moss
n022	fix	أُخَيْضِرٌ	Khuḍayr is a real given name; Ukhayḍir is the standard diminutive of أخضر
n023	ok		little herb/grass
n024	fix	مُرَيْجَةٌ	كُلَيْأٌ obscure and hamza seat wrong; little meadow
n025	ok		little leaf
n026	ok		diminutive of برعم
n027	ok		little plant/sprout
n028	fix	فُسَيْتِقٌ	لوز is almond not peanut; little fustuq
n029	ok		little walnut (جوز)
n030	fix	كُسَيْتِنَةٌ	Furaywa is not a word; chestnut = كستناء
n031	fix	بُطَيْطَةٌ حُلْوَةٌ	follows n005
n032	fix	جُذَيْرٌ	Jubayl is little mountain (mistranslation of 山); little root/tuber
n033	fix	قُلَيْقِيسٌ	diminutive of قلقاس needs long ī
n034	ok		little taro ball
n035	ok		little bag/pouch; dumpling shape
n036	ok		cornbread loaf; ذُرَة vowelling ok
n037	ok		little coal
n038	ok		little legume (بقول=pulses) black; small drift
n039	ok		little legume green; small drift
n040	ok		little legume red; small drift
n041	ok		little down/fuzz, fits hairy bean
n042	ok		diminutive of تراب
n043	ok		little sand; small drift from dirt
n044	ok		little hole
n045	ok		little bulge/lump
n046	ok		diminutive of غافل, heedless
n047	fix	سُوَيْذِجٌ	Ṭurayf means little edge, not silly; and a given name; little naive one
n048	ok		little drowsy one
n049	ok		little lazy one
n050	ok		diminutive of قرقرة, gurgle
n051	ok		little drum
n052	ok		little calf; ʿUjayl is also a name, acceptable
n053	fix	شُبَيْلٌ	cub = شبل; Numayr is a given name
n054	fix	بُيَيْضَةٌ حَدِيدِيَّةٌ	diminutive of بيضة is بُيَيْضَة
n055	fix	بُيَيْضَةٌ حَجَرِيَّةٌ	as n054
n056	ok		little dog; Kulayb is also an old name, acceptable pet
n057	fix	مُتَيِّنٌ	diminutive of مَتِين is مُتَيِّن
n058	fix	أُسَيْوِدٌ	Suwaydāʾ is a city/given name; little black one (أسود)
n059	ok		little dusty one
n060	fix	فُقَيْقِيعَةٌ	diminutive of فقاعة is فُقَيْقِيعَة
