id	verdict	fix_gloss	note
w001	ok		
w002	ok		
w003	ok		
w004	ok		
w005	ok		
w006	ok		
w007	ok		
w008	ok		
w009	ok		
w010	ok		
w011	ok		
w012	ok		
w013	ok		
w014	ok		
w015	ok		
w016	fix	(كَلِمَةٌ لِلسَّاعَةِ)؛ قَلِيلٌ	point (o'clock) needs a head noun; bare (li-s-saa'a) is a stray phrase, unlike the other measure-word glosses
w017	ok		
w018	ok		
w019	ok		
w020	ok		
w021	ok		
w022	ok		
w023	ok		
w024	ok		
w025	ok		
w026	ok		
w027	ok		
w028	ok		
w029	ok		
w030	ok		
w031	ok		
w032	ok		
w033	ok		
w034	ok		
w035	ok		
w036	ok		
w037	ok		
w038	ok		
w039	ok		
w040	ok		
w041	ok		
w042	ok		
w043	ok		
w044	ok		
w045	ok		
w046	ok		
w047	ok		
w048	ok		
w049	ok		
w050	ok		
w051	ok		
w052	ok		
w053	ok		
w054	ok		
w055	ok		
w056	ok		
w057	ok		
w058	ok		
w059	ok		
w060	ok		
