id	script	reading	english	tags	status	checks	note
h3w001	阿姨	ā yí	aunt	hsk3	verified	claude-blind,claude-review	
h3w002	啊	a	(particle of surprise or emphasis)	hsk3	verified	claude-review,claude-blind,claude-adjudicated	settled by claude-blind,claude-review,claude-adjudicated: blind reading means the same; where the reviewer fixed the reading, it is now a verified word-level override
h3w003	矮	ǎi	short (of height)	hsk3	verified	claude-blind,claude-review	
h3w004	爱好	ài hào	hobby	hsk3	verified	claude-blind,claude-review	
h3w005	安静	ān jìng	quiet	hsk3	verified	claude-blind,claude-review	
h3w006	把	bǎ	(marks the object before the verb)	hsk3	verified	claude-review,claude-blind,claude-adjudicated	settled by claude-blind,claude-review,claude-adjudicated: blind reading means the same; where the reviewer fixed the reading, it is now a verified word-level override
h3w007	班	bān	class	hsk3	verified	claude-blind,claude-review	
h3w008	搬	bān	to move (something heavy)	hsk3	verified	claude-blind,claude-review	
h3w009	半	bàn	half	hsk3	verified	claude-blind,claude-review	
h3w010	办法	bàn fǎ	way; method	hsk3	verified	claude-blind,claude-review	
h3w011	办公室	bàn gōng shì	office	hsk3	verified	claude-blind,claude-review	
h3w012	帮忙	bāng máng	to help	hsk3	verified	claude-blind,claude-review	
h3w013	包	bāo	bag	hsk3	verified	claude-blind,claude-review	
h3w014	饱	bǎo	full (after eating)	hsk3	verified	claude-blind,claude-review	
h3w015	北方	běi fāng	the north	hsk3	verified	claude-blind,claude-review	
h3w016	被	bèi	(passive marker) by	hsk3	verified	claude-blind,claude-review	
h3w017	鼻子	bí zi	nose	hsk3	verified	claude-blind,claude-review	
h3w018	比较	bǐ jiào	rather; relatively	hsk3	verified	claude-blind,claude-review	
h3w019	比赛	bǐ sài	match; competition	hsk3	verified	claude-blind,claude-review	
h3w020	笔记本	bǐ jì běn	notebook	hsk3	verified	claude-blind,claude-review	
h3w021	必须	bì xū	must	hsk3	verified	claude-blind,claude-review	
h3w022	变化	biàn huà	change	hsk3	verified	claude-blind,claude-review	
h3w023	别人	bié rén	other people	hsk3	verified	claude-blind,claude-review	
h3w024	冰箱	bīng xiāng	refrigerator	hsk3	verified	claude-blind,claude-review	
h3w025	不但…而且	bú dàn … ér qiě	not only… but also	hsk3	verified	claude-blind,claude-review	
h3w026	菜单	cài dān	menu	hsk3	verified	claude-blind,claude-review	
h3w027	才	cái	only then; not until	hsk3	verified	claude-blind,claude-review	
h3w028	参加	cān jiā	to take part in	hsk3	verified	claude-blind,claude-review	
h3w029	草	cǎo	grass	hsk3	verified	claude-blind,claude-review	
h3w030	层	céng	floor; layer	hsk3	verified	claude-blind,claude-review	
h3w031	差	chà	to be short of; poor	hsk3	verified	claude-review,claude-blind,claude-adjudicated	settled by claude-blind,claude-review,claude-adjudicated: blind reading means the same; where the reviewer fixed the reading, it is now a verified word-level override
