id	script	reading	english	gloss	status	checks	note
n001	泥泥	ní ni	Muddy	Lodito	verified	claude-blind,claude-review	
n002	小泥	xiǎo ní	Little Mud	Lodín	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind nickname is a different but equivalent nickname for the same meaning
n003	泥球	ní qiú	Mudball	Bola de Lodo	verified	claude-blind,claude-review	
n004	泥巴	ní ba	Mud	Fanguito	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: a different nickname for the same meaning; the blind reading of a coined nickname rarely matches word for word
n005	土豆	tǔ dòu	Potato	Papita	verified	claude-blind,claude-review	
n006	豆豆	dòu dou	Beanie	Frijolito	verified	claude-blind,claude-review	
n007	小豆	xiǎo dòu	Little Bean	Frijolín	verified	claude-blind,claude-review	
n008	包子	bāo zi	Bun	Panecito	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind nickname is a different but equivalent nickname for the same meaning
n009	馒头	mán tou	Steamed Bun	Bollito	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind nickname is a different but equivalent nickname for the same meaning
n010	石头	shí tou	Rocky	Piedrita	verified	claude-blind,claude-review	
n011	小石	xiǎo shí	Pebble	Piedrín	verified	claude-blind,claude-review	
n012	墩墩	dūn dun	Chunky	Rechonchito	verified	claude-blind,claude-review	
n013	胖胖	pàng pang	Chubby	Gordito	verified	claude-blind,claude-review	
n014	呱呱	guā gua	Croaky	Croaquito	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind nickname is a different but equivalent nickname for the same meaning
n015	团子	tuán zi	Dumpling Ball	Bolita de Masa	verified	claude-blind,claude-review	
n016	糯米	nuò mǐ	Sticky Rice	Arrocito Pegajoso	verified	claude-blind,claude-review	
n017	蘑菇	mó gu	Mushroom	Honguito	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: a different nickname for the same meaning; the blind reading of a coined nickname rarely matches word for word
n018	小菇	xiǎo gū	Little Mushroom	Honguín	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: a different nickname for the same meaning; the blind reading of a coined nickname rarely matches word for word
n019	木头	mù tou	Woody	Maderita	verified	claude-blind,claude-review	
n020	小树	xiǎo shù	Sapling	Arbolito	verified	claude-blind,claude-review	
