id	script	reading	english	tags	status	checks	note
h2x001	你好！｜你好！你今天忙吗？｜不忙，我很高兴。	Nǐ hǎo! | Nǐ hǎo! Nǐ jīn tiān máng ma? | Bù máng, wǒ hěn gāo xìng.	Hello! | Hello! Are you busy today? | Not busy, I'm very happy.	exchange,greet	verified	claude-blind,claude-review	
h2x002	你好吗？｜我很好，你呢？｜我也很好。	Nǐ hǎo ma? | Wǒ hěn hǎo, nǐ ne? | Wǒ yě hěn hǎo.	How are you? | I'm well, and you? | I'm well too.	exchange,greet	verified	claude-blind,claude-review	
h2x003	你是新同学吗？欢迎你！｜谢谢！我们做朋友吧！	Nǐ shì xīn tóng xué ma? Huān yíng nǐ! | Xiè xie! Wǒ men zuò péng you ba!	Are you the new student? Welcome! | Thanks! Let's be friends!	exchange,greet	verified	claude-blind,claude-review	
h2x004	你好，你姓什么？｜我姓高，你呢？｜我姓白。	Nǐ hǎo, nǐ xìng shén me? | Wǒ xìng gāo, nǐ ne? | Wǒ xìng bái.	Hello, what's your surname? | My surname is Gao, and yours? | My surname is Bai.	exchange,greet	verified	claude-blind,claude-review	
h2x005	你今天很高兴，为什么？｜因为今天是我的生日！	Nǐ jīn tiān hěn gāo xìng, wèi shén me? | Yīn wèi jīn tiān shì wǒ de shēng rì!	You're very happy today, why? | Because today is my birthday!	exchange,greet	verified	claude-blind,claude-review	
h2x006	我们明天一起玩，好吗？｜好，太好了！	Wǒ men míng tiān yì qǐ wán, hǎo ma? | Hǎo, tài hǎo le!	Let's play together tomorrow, okay? | Great, sounds good!	exchange,greet	verified	claude-blind,claude-review	
h2x007	你好！我可以介绍一下吗？｜可以，请介绍！	Nǐ hǎo! Wǒ kě yǐ jiè shào yí xià ma? | Kě yǐ, qǐng jiè shào!	Hello! May I introduce myself? | Sure, please go ahead!	exchange,greet	rejected	claude-blind,claude-review,claude-adjudicated	settled by claude-adjudicated: 介绍一下 with no object and 请介绍 as a reply is not a natural exchange
h2x008	早上好！｜早上好！你几点起床的？｜我七点起床。	Zǎo shang hǎo! | Zǎo shang hǎo! Nǐ jǐ diǎn qǐ chuáng de? | Wǒ qī diǎn qǐ chuáng.	Good morning! | Good morning! What time did you get up? | I got up at seven.	exchange,greet	verified	claude-blind,claude-review	
h2x009	你好，你今天要去哪儿？｜我要去学校，你呢？｜我要去商店。	Nǐ hǎo, nǐ jīn tiān yào qù nǎr? | Wǒ yào qù xué xiào, nǐ ne? | Wǒ yào qù shāng diàn.	Hello, where are you going today? | I'm going to school, and you? | I'm going to the store.	exchange,greet	verified	claude-blind,claude-review	
h2x010	你好！你今天想做什么？｜我想去游泳，你呢？｜我想休息。	Nǐ hǎo! Nǐ jīn tiān xiǎng zuò shén me? | Wǒ xiǎng qù yóu yǒng, nǐ ne? | Wǒ xiǎng xiū xi.	Hello! What do you want to do today? | I want to go swimming, and you? | I want to rest.	exchange,greet	verified	claude-blind,claude-review	
h2x011	你想吃什么？｜我想吃面条，你呢？｜我想吃鸡蛋。	Nǐ xiǎng chī shén me? | Wǒ xiǎng chī miàn tiáo, nǐ ne? | Wǒ xiǎng chī jī dàn.	What do you want to eat? | I want to eat noodles, and you? | I want to eat eggs.	exchange,food	verified	claude-blind,claude-review	
h2x012	这个面条好吃吗？｜非常好吃！你也吃一点儿吧。	Zhè ge miàn tiáo hǎo chī ma? | Fēi cháng hǎo chī! Nǐ yě chī yì diǎnr ba.	Are these noodles tasty? | Very tasty! You have some too.	exchange,food	verified	claude-blind,claude-review	
h2x013	你想喝咖啡还是牛奶？｜我想喝咖啡，谢谢。	Nǐ xiǎng hē kā fēi hái shì niú nǎi? | Wǒ xiǎng hē kā fēi, xiè xie.	Do you want coffee or milk? | I'd like coffee, thanks.	exchange,food	verified	claude-blind,claude-review	
h2x014	你觉得这个西瓜怎么样？｜很好吃，我很喜欢。	Nǐ jué de zhè ge xī guā zěn me yàng? | Hěn hǎo chī, wǒ hěn xǐ huan.	What do you think of this watermelon? | It's tasty, I like it a lot.	exchange,food	verified	claude-blind,claude-review	
h2x015	服务员，我要一个鸡蛋面。｜好的，请等一下。	Fú wù yuán, wǒ yào yí gè jī dàn miàn. | Hǎo de, qǐng děng yí xià.	Waiter, I'd like an egg noodle dish. | Sure, please wait a moment.	exchange,food	verified	claude-blind,claude-review	
h2x016	这个多少钱？｜很便宜，三块钱。｜太好了，我买一个。	Zhè ge duō shao qián? | Hěn pián yi, sān kuài qián. | Tài hǎo le, wǒ mǎi yí gè.	How much is this? | It's cheap, three yuan. | Great, I'll buy one.	exchange,food	verified	claude-blind,claude-review	
