id	script	reading	english	gloss	status	checks	note
h3w001	阿姨	ā yí	aunt	tía (forma cariñosa de llamar a una mujer adulta); señora	verified	claude-blind,claude-review,claude-adjudicated	settled by claude-blind,claude-review,claude-adjudicated: the blind reading of the Chinese agrees with this Spanish (reviewer's fix, or wording only)
h3w002	啊	a	(particle of surprise or emphasis)	(partícula de sorpresa o énfasis)	verified	claude-review,claude-blind,claude-adjudicated	settled by claude-blind,claude-review,claude-adjudicated: the blind reading of the Chinese agrees with this Spanish (reviewer's fix, or wording only)
h3w003	矮	ǎi	short (of height)	bajo (de estatura)	verified	claude-blind,claude-review	
h3w004	爱好	ài hào	hobby	pasatiempo	verified	claude-blind,claude-review	
h3w005	安静	ān jìng	quiet	silencioso; tranquilo	verified	claude-blind,claude-review,claude-adjudicated	settled by claude-blind,claude-review,claude-adjudicated: the blind reading of the Chinese agrees with this Spanish (reviewer's fix, or wording only)
h3w006	把	bǎ	(marks the object before the verb)	(marca el objeto antes del verbo)	verified	claude-review,claude-blind,claude-adjudicated	settled by claude-blind,claude-review,claude-adjudicated: the blind reading of the Chinese agrees with this Spanish (reviewer's fix, or wording only)
h3w007	班	bān	class	clase	verified	claude-blind,claude-review	
h3w008	搬	bān	to move (something heavy)	mover (algo pesado)	verified	claude-blind,claude-review	
h3w009	半	bàn	half	mitad	verified	claude-blind,claude-review	
h3w010	办法	bàn fǎ	way; method	manera; método	verified	claude-blind,claude-review	
h3w011	办公室	bàn gōng shì	office	oficina	verified	claude-blind,claude-review	
h3w012	帮忙	bāng máng	to help	ayudar	verified	claude-blind,claude-review	
h3w013	包	bāo	bag	bolsa	verified	claude-blind,claude-review	
h3w014	饱	bǎo	full (after eating)	lleno (después de comer)	verified	claude-blind,claude-review	
h3w015	北方	běi fāng	the north	norte	verified	claude-blind,claude-review	
h3w016	被	bèi	(passive marker) by	(marca de pasiva) por	verified	claude-review,claude-blind,claude-adjudicated	settled by claude-blind,claude-review,claude-adjudicated: the blind reading of the Chinese agrees with this Spanish (reviewer's fix, or wording only)
h3w017	鼻子	bí zi	nose	nariz	verified	claude-blind,claude-review	
h3w018	比较	bǐ jiào	rather; relatively	bastante; relativamente	verified	claude-blind,claude-review	
h3w019	比赛	bǐ sài	match; competition	partido; competencia	verified	claude-blind,claude-review	
h3w020	笔记本	bǐ jì běn	notebook	cuaderno	verified	claude-blind,claude-review	
h3w021	必须	bì xū	must	tener que	verified	claude-blind,claude-review,claude-adjudicated	settled by claude-blind,claude-review,claude-adjudicated: the blind reading of the Chinese agrees with this Spanish (reviewer's fix, or wording only)
h3w022	变化	biàn huà	change	cambio	verified	claude-blind,claude-review	
h3w023	别人	bié rén	other people	otras personas	verified	claude-blind,claude-review	
h3w024	冰箱	bīng xiāng	refrigerator	refrigerador	verified	claude-blind,claude-review	
h3w025	不但…而且	bú dàn … ér qiě	not only… but also	no solo… sino también	verified	claude-blind,claude-review	
h3w026	菜单	cài dān	menu	menú	verified	claude-blind,claude-review	
h3w027	才	cái	only then; not until	solo entonces; recién	verified	claude-review,claude-blind,claude-adjudicated	settled by claude-blind,claude-review,claude-adjudicated: the blind reading of the Chinese agrees with this Spanish (reviewer's fix, or wording only)
h3w028	参加	cān jiā	to take part in	participar en	verified	claude-blind,claude-review	
h3w029	草	cǎo	grass	pasto; hierba	verified	claude-blind,claude-review,claude-adjudicated	settled by claude-blind,claude-review,claude-adjudicated: the blind reading of the Chinese agrees with this Spanish (reviewer's fix, or wording only)
h3w030	层	céng	floor; layer	piso; capa	verified	claude-blind,claude-review	
h3w031	差	chà	to be short of; poor	faltar; malo	verified	claude-blind,claude-review	
h3w032	超市	chāo shì	supermarket	supermercado	verified	claude-blind,claude-review	
h3w033	衬衫	chèn shān	shirt	camisa	verified	claude-blind,claude-review	
h3w034	成绩	chéng jì	result; grade	resultado; calificación	verified	claude-review,claude-blind,claude-adjudicated	settled by claude-blind,claude-review,claude-adjudicated: the blind reading of the Chinese agrees with this Spanish (reviewer's fix, or wording only)
h3w035	城市	chéng shì	city	ciudad	verified	claude-blind,claude-review	
h3w036	迟到	chí dào	to be late	llegar tarde	verified	claude-blind,claude-review	
h3w037	出现	chū xiàn	to appear	aparecer	verified	claude-blind,claude-review	
h3w038	除了	chú le	besides; except	además de; excepto	verified	claude-blind,claude-review	
h3w039	厨房	chú fáng	kitchen	cocina	verified	claude-blind,claude-review	
h3w041	春	chūn	spring	primavera	verified	claude-blind,claude-review	
h3w042	词语	cí yǔ	word; phrase	palabra; expresión	verified	claude-blind,claude-review	
h3w043	聪明	cōng ming	clever	inteligente	verified	claude-blind,claude-review,claude-adjudicated	settled by claude-blind,claude-review,claude-adjudicated: the blind reading of the Chinese agrees with this Spanish (reviewer's fix, or wording only)
h3w044	打扫	dǎ sǎo	to clean	limpiar	verified	claude-blind,claude-review	
h3w045	打算	dǎ suàn	to plan	planear	verified	claude-blind,claude-review	
h3w046	带	dài	to bring; to take	traer; llevar	verified	claude-blind,claude-review	
h3w047	担心	dān xīn	to worry	preocuparse	verified	claude-blind,claude-review	
h3w048	蛋糕	dàn gāo	cake	pastel	verified	claude-blind,claude-review	
h3w049	当然	dāng rán	of course	por supuesto	verified	claude-blind,claude-review	
