id	verdict	fix_gloss	note
h3x001	ok		
h3x002	ok		
h3x003	ok		
h3x004	ok		
h3x005	ok		
h3x006	ok		
h3x007	ok		
h3x008	ok		
h3x009	ok		
h3x010	ok		
h3x011	ok		
h3x012	ok		
h3x013	fix	لَمْ نَلْتَقِ مُنْذُ وَقْتٍ طَوِيلٍ! | نَعَمْ، كَيْفَ حَالُكَ مُؤَخَّرًا؟ | أَنَا بِخَيْرٍ، شُكْرًا.	the bare phrase was ambiguous; say we have not met for a long time
h3x014	ok		
h3x015	ok		
h3x016	ok		
h3x017	ok		
h3x018	ok		
h3x019	ok		
h3x020	ok		
h3x021	ok		
h3x022	ok		
h3x023	ok		
h3x024	ok		
h3x025	ok		
h3x026	ok		
h3x027	ok		
h3x028	ok		
h3x029	ok		
h3x030	ok		
h3x031	ok		
h3x032	ok		
h3x033	ok		
h3x034	ok		
h3x035	ok		
h3x036	ok		
h3x037	ok		
h3x038	ok		
h3x039	ok		
h3x040	ok		
h3x041	ok		
h3x042	ok		
h3x043	ok		
h3x044	fix	دُبُّ الْبَانْدَا هٰذَا سَمِينٌ جِدًّا! | نَعَمْ، يَأْكُلُ كَثِيرًا كُلَّ يَوْمٍ.	panda lost: the bear alone is not 熊猫
h3x045	ok		
h3x046	ok		
h3x047	ok		
h3x049	ok		
h3x050	ok		
h3x051	ok		
h3x052	ok		
h3x053	ok		
h3x054	ok		
h3x055	fix	رِجْلَايَ لَا تَسْتَطِيعَانِ الْمَشْيَ بَعْدَ الْآنَ.	ساق is the shin; use رجل for 腿
h3x056	ok		
h3x057	ok		
h3x058	ok		
h3x059	ok		
h3x060	ok		
