id	script	reading	english	gloss	status	checks	note
x001	你好！｜你好！	Nǐ hǎo! | Nǐ hǎo!	Hello! | Hello!	¡Hola! | ¡Hola!	verified	claude-blind,claude-review	
x002	你好吗？｜我很好，谢谢。你呢？｜我很好。	Nǐ hǎo ma? | Wǒ hěn hǎo, xiè xie. Nǐ ne? | Wǒ hěn hǎo.	How are you? | I'm fine, thanks. And you? | I'm fine.	¿Cómo estás? | Estoy bien, gracias. ¿Y tú? | Estoy bien.	verified	claude-blind,claude-review	
x003	你们好！｜你好！	Nǐ men hǎo! | Nǐ hǎo!	Hello, everyone! | Hello!	¡Hola a todos! | ¡Hola!	verified	claude-blind,claude-review	
x004	你在哪儿？｜我在这儿！	Nǐ zài nǎr? | Wǒ zài zhèr!	Where are you? | I'm here!	¿Dónde estás? | ¡Estoy aquí!	verified	claude-blind,claude-review	
x005	谁在那儿？｜是我！	Shéi zài nàr? | Shì wǒ!	Who's there? | It's me!	¿Quién está ahí? | ¡Soy yo!	verified	claude-blind,claude-review	
x006	你在做什么？｜我在吃东西。	Nǐ zài zuò shén me? | Wǒ zài chī dōng xi.	What are you doing? | I'm eating.	¿Qué estás haciendo? | Estoy comiendo.	verified	claude-blind,claude-review	
x007	你在看什么？｜我在看你。	Nǐ zài kàn shén me? | Wǒ zài kàn nǐ.	What are you looking at? | I'm looking at you.	¿Qué estás mirando? | Te estoy mirando.	verified	claude-blind,claude-review	
x008	你认识他吗？｜我不认识他。	Nǐ rèn shi tā ma? | Wǒ bú rèn shi tā.	Do you know him? | I don't know him.	¿Lo conoces? | No lo conozco.	verified	claude-blind,claude-review	
x009	他是谁？｜他是我的朋友。	Tā shì shéi? | Tā shì wǒ de péng you.	Who is he? | He is my friend.	¿Quién es él? | Es mi amigo.	verified	claude-blind,claude-review	
x010	我们是朋友吗？｜是的！我们是朋友。	Wǒ men shì péng you ma? | Shì de! Wǒ men shì péng you.	Are we friends? | Yes! We are friends.	¿Somos amigos? | ¡Sí! Somos amigos.	verified	claude-blind,claude-review	
x011	你有朋友吗？｜有，你是我的朋友。	Nǐ yǒu péng you ma? | Yǒu, nǐ shì wǒ de péng you.	Do you have friends? | Yes, you're my friend.	¿Tienes amigos? | Sí, tú eres mi amigo.	verified	claude-blind,claude-review	
x012	再见！｜明天见！	Zài jiàn! | Míng tiān jiàn!	Goodbye! | See you tomorrow!	¡Adiós! | ¡Nos vemos mañana!	verified	claude-blind,claude-review	
x013	谢谢你！｜不客气。	Xiè xie nǐ! | Bú kè qi.	Thank you! | You're welcome.	¡Gracias! | De nada.	verified	claude-blind,claude-review	
x014	对不起！｜没关系。	Duì bu qǐ! | Méi guān xi.	Sorry! | It's okay.	¡Perdón! | No hay problema.	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: equivalent Spanish rendering
x015	你好漂亮！｜谢谢！	Nǐ hǎo piào liang! | Xiè xie!	You're so pretty! | Thanks!	¡Qué bonita eres! | ¡Gracias!	verified	claude-blind,claude-review	
x016	你的衣服很漂亮。｜谢谢你！	Nǐ de yī fu hěn piào liang. | Xiè xie nǐ!	Your clothes are very pretty. | Thank you!	Tu ropa es muy bonita. | ¡Gracias!	verified	claude-blind,claude-review	
x017	我爱你。｜谢谢！我很高兴。	Wǒ ài nǐ. | Xiè xie! Wǒ hěn gāo xìng.	I love you. | Thanks! I'm very happy.	Te amo. | ¡Gracias! Estoy muy feliz.	verified	claude-blind,claude-review	
x018	你喜欢这儿吗？｜我很喜欢这儿。	Nǐ xǐ huan zhèr ma? | Wǒ hěn xǐ huan zhèr.	Do you like it here? | I like it here very much.	¿Te gusta aquí? | Me gusta mucho aquí.	verified	claude-blind,claude-review	
x019	你想吃什么？｜我想吃米饭。	Nǐ xiǎng chī shén me? | Wǒ xiǎng chī mǐ fàn.	What do you want to eat? | I want to eat rice.	¿Qué quieres comer? | Quiero comer arroz.	verified	claude-blind,claude-review	
x020	你吃饭了吗？｜我没有吃饭。｜我们去吃饭。	Nǐ chī fàn le ma? | Wǒ méi yǒu chī fàn. | Wǒ men qù chī fàn.	Have you eaten? | I haven't eaten. | Let's go and eat.	¿Ya comiste? | No he comido. | Vamos a comer.	verified	claude-blind,claude-review	
x021	我想吃东西。｜这儿有苹果。｜谢谢！	Wǒ xiǎng chī dōng xi. | Zhèr yǒu píng guǒ. | Xiè xie!	I want to eat something. | There are apples here. | Thanks!	Quiero comer algo. | Aquí hay manzanas. | ¡Gracias!	verified	claude-blind,claude-review	
x022	这是什么？｜这是苹果。｜我能吃吗？｜能！	Zhè shì shén me? | Zhè shì píng guǒ. | Wǒ néng chī ma? | Néng!	What is this? | This is an apple. | Can I eat it? | Yes!	¿Qué es esto? | Es una manzana. | ¿Puedo comerla? | ¡Sí!	verified	claude-blind,claude-review	
x023	这个好吃吗？｜很好吃！	Zhè ge hǎo chī ma? | Hěn hǎo chī!	Is this tasty? | Very tasty!	¿Esto está rico? | ¡Muy rico!	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: equivalent Spanish rendering
x024	你喜欢什么水果？｜我喜欢苹果。	Nǐ xǐ huan shén me shuǐ guǒ? | Wǒ xǐ huan píng guǒ.	What fruit do you like? | I like apples.	¿Qué fruta te gusta? | Me gustan las manzanas.	verified	claude-blind,claude-review	
x025	你想喝什么？｜我想喝茶。｜好的。	Nǐ xiǎng hē shén me? | Wǒ xiǎng hē chá. | Hǎo de.	What would you like to drink? | I'd like tea. | Okay.	¿Qué quieres tomar? | Quiero tomar té. | Está bien.	verified	claude-blind,claude-review	
x026	请喝茶。｜谢谢，我很喜欢喝茶。	Qǐng hē chá. | Xiè xie, wǒ hěn xǐ huan hē chá.	Please have some tea. | Thanks, I really like tea.	Toma té, por favor. | Gracias, me gusta mucho el té.	verified	claude-blind,claude-review	
x027	你喜欢吃中国菜吗？｜很喜欢！	Nǐ xǐ huan chī zhōng guó cài ma? | Hěn xǐ huan!	Do you like Chinese food? | Very much!	¿Te gusta la comida china? | ¡Mucho!	verified	claude-blind,claude-review	
