id	script	reading	english	gloss	status	checks	note
p001	你好！	Nǐ hǎo!	Hello!	¡Hola!	verified	claude-blind,claude-review	
p002	你好吗？	Nǐ hǎo ma?	How are you?	¿Cómo estás?	verified	claude-blind,claude-review	
p003	喂！	Wèi!	Hey! / Hello!	¡Oye!	verified	claude-blind,claude-review	
p004	喂，你好！	Wèi, nǐ hǎo!	Hey, hello!	¡Oye, hola!	verified	claude-blind,claude-review	
p005	我在这儿！	Wǒ zài zhèr!	I'm here!	¡Estoy aquí!	verified	claude-blind,claude-review	
p006	你在哪儿？	Nǐ zài nǎr?	Where are you?	¿Dónde estás?	verified	claude-blind,claude-review	
p007	你去哪儿？	Nǐ qù nǎr?	Where are you going?	¿Adónde vas?	verified	claude-blind,claude-review	
p008	你回来了！	Nǐ huí lái le!	You're back!	¡Ya volviste!	verified	claude-blind,claude-review	
p009	你来了！	Nǐ lái le!	You came!	¡Viniste!	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading is an equivalent Spanish rendering (p052: 我睡觉了 is 'going to bed', as adjudicated for the English)
p010	我很好，谢谢。你呢？	Wǒ hěn hǎo, xiè xie. Nǐ ne?	I'm fine, thanks. And you?	Estoy bien, gracias. ¿Y tú?	verified	claude-blind,claude-review	
p011	你叫什么名字？	Nǐ jiào shén me míng zi?	What's your name?	¿Cómo te llamas?	verified	claude-blind,claude-review	
p012	我认识你！	Wǒ rèn shi nǐ!	I know you!	¡Te conozco!	verified	claude-blind,claude-review	
p013	你是谁？	Nǐ shì shéi?	Who are you?	¿Quién eres?	verified	claude-blind,claude-review	
p014	下午好！	Xià wǔ hǎo!	Good afternoon!	¡Buenas tardes!	verified	claude-blind,claude-review	
p015	你今天怎么样？	Nǐ jīn tiān zěn me yàng?	How are you today?	¿Cómo estás hoy?	verified	claude-blind,claude-review	
p016	你在做什么？	Nǐ zài zuò shén me?	What are you doing?	¿Qué estás haciendo?	verified	claude-blind,claude-review	
p017	你在看什么？	Nǐ zài kàn shén me?	What are you looking at?	¿Qué estás mirando?	verified	claude-blind,claude-review	
p018	你是我的朋友。	Nǐ shì wǒ de péng you.	You are my friend.	Eres mi amigo.	verified	claude-blind,claude-review	
p019	我们是朋友。	Wǒ men shì péng you.	We are friends.	Somos amigos.	verified	claude-blind,claude-review	
