id	verdict	fix_gloss	note
h3p369	ok		
h3p370	ok		
h3p371	ok		
h3p372	ok		
h3p373	ok		
h3p374	ok		
h3p375	ok		
h3p376	ok		
h3p377	ok		
h3p378	ok		
h3p379	ok		
h3p380	ok		
h3p381	fix	Siempre he estado esperando que vuelvas a casa.	awkward
h3p382	ok		
h3p383	ok		
h3p384	ok		
h3p385	ok		
h3p386	ok		
h3p387	ok		
h3p388	ok		
h3p389	fix	¿Puedo usar tu bolígrafo un momento?	pluma is regional
h3p390	ok		
h3p391	ok		
h3p392	ok		
h3p393	ok		
h3p394	ok		
h3p395	ok		
h3p396	ok		
h3p397	ok		
h3p398	ok		
h3p399	ok		
h3p400	ok		
h3p401	ok		
h3p402	ok		
h3p403	ok		
h3p404	ok		
h3p405	ok		
h3p406	ok		
h3p407	ok		
h3p408	ok		
h3p409	ok		
h3p410	ok		
h3p411	ok		
h3p412	ok		
h3p413	fix	Al cruzar la calle hay que fijarse en los autos.	coches is Spain
h3p414	ok		
h3p415	ok		
h3p416	ok		
h3p417	ok		
h3p418	ok		
h3p419	ok		
h3p420	ok		
h3p421	ok		
h3p422	fix	No te olvides, mañana quiero comer pescado sin falta.	sí o sí is regional
h3p423	fix	Llevo mucho tiempo esperando para poder comer pastel.	一直 = all along
h3p424	ok		
h3p425	ok		
h3p426	ok		
h3p427	ok		
h3p428	ok		
