id	script	reading	english	gloss	gloss_reading	status	checks	note
h3x001	你饿了吗？｜饿了，我想吃蛋糕。｜厨房里有一个。	Nǐ è le ma? | È le, wǒ xiǎng chī dàn gāo. | Chú fáng lǐ yǒu yí gè.	Are you hungry? | Yes, I want some cake. | There's one in the kitchen.	هَلْ أَنْتَ جَائِعٌ؟ | نَعَمْ، أُرِيدُ كَعْكَةً. | تُوجَدُ كَعْكَةٌ فِي الْمَطْبَخِ.	Hal anta jāʾiʿ? | Naʿam, urīdu kaʿka. | Tūjadu kaʿkatun fī al-maṭbakh.	verified	claude-blind,claude-review	
h3x002	你吃饱了吗？｜还没有，我还想吃香蕉。	Nǐ chī bǎo le ma? | Hái méi yǒu, wǒ hái xiǎng chī xiāng jiāo.	Are you full? | Not yet, I still want a banana.	هَلْ شَبِعْتَ؟ | لَا، مَا زِلْتُ أُرِيدُ مَوْزَةً.	Hal shabiʿt? | Lā, mā ziltu urīdu mawza.	verified	claude-blind,claude-review	
h3x003	这个面包很新鲜。｜真的吗？我也想吃一个。	Zhè ge miàn bāo hěn xīn xiān. | Zhēn de ma? Wǒ yě xiǎng chī yí gè.	This bread is really fresh. | Really? I want one too.	هٰذَا الْخُبْزُ طَازَجٌ جِدًّا. | حَقًّا؟ أُرِيدُ قِطْعَةً أَنَا أَيْضًا.	Hādhā al-khubzu ṭāzajun jiddan. | Ḥaqqan? Urīdu qiṭʿatan anā ayḍan.	verified	claude-blind,claude-review	
h3x004	你想喝什么饮料？｜我想喝一点儿甜的。	Nǐ xiǎng hē shén me yǐn liào? | Wǒ xiǎng hē yì diǎnr tián de.	What drink would you like? | Something sweet, please.	مَاذَا تُرِيدُ أَنْ تَشْرَبَ؟ | أُرِيدُ شَيْئًا حُلْوًا مِنْ فَضْلِكَ.	Mādhā turīdu an tashrab? | Urīdu shayʾan ḥulwan min faḍlik.	verified	claude-blind,claude-review	
h3x005	这个碗里是什么？｜是面条，你要吃吗？｜要！	Zhè ge wǎn lǐ shì shén me? | Shì miàn tiáo, nǐ yào chī ma? | Yào!	What's in this bowl? | Noodles. Do you want some? | Yes!	مَاذَا فِي هٰذَا الصَّحْنِ؟ | نُودِلْزُ، هَلْ تُرِيدُ بَعْضًا؟ | نَعَمْ!	Mādhā fī hādhā aṣ-ṣaḥn? | Nūdilz, hal turīdu baʿḍan? | Naʿam!	verified	claude-blind,claude-review	
h3x006	冰箱里还有蛋糕吗？｜没有了，被我吃了。	Bīng xiāng lǐ hái yǒu dàn gāo ma? | Méi yǒu le, bèi wǒ chī le.	Is there any cake left in the fridge? | No, I ate it.	هَلْ بَقِيَتْ كَعْكَةٌ فِي الثَّلَّاجَةِ؟ | لَا، أَكَلْتُهَا.	Hal baqiyat kaʿkatun fī ath-thallāja? | Lā, akaltuhā.	verified	claude-blind,claude-review	
h3x007	你会用筷子吗？｜会，可是我还不习惯。	Nǐ huì yòng kuài zi ma? | Huì, kě shì wǒ hái bù xí guàn.	Can you use chopsticks? | Yes, but I'm not used to it yet.	هَلْ تَعْرِفُ أَنْ تَسْتَخْدِمَ عِيدَانَ الطَّعَامِ؟ | نَعَمْ، لٰكِنَّنِي لَمْ أَعْتَدْ عَلَيْهَا بَعْدُ.	Hal taʿrifu an tastakhdima ʿīdāna aṭ-ṭaʿām? | Naʿam, lākinnanī lam aʿtad ʿalayhā baʿd.	verified	claude-blind,claude-review	
h3x008	这个菜单我看不懂。｜别着急，我给你讲一下。	Zhè ge cài dān wǒ kàn bù dǒng. | Bié zháo jí, wǒ gěi nǐ jiǎng yí xià.	I can't understand this menu. | Don't worry, I'll explain it to you.	لَا أَفْهَمُ هٰذِهِ الْقَائِمَةَ. | لَا تَقْلَقْ، سَأَشْرَحُهَا لَكَ.	Lā afhamu hādhihi al-qāʾima. | Lā taqlaq, saʾashraḥuhā lak.	verified	claude-blind,claude-review	
h3x009	盘子里的鱼你不吃吗？｜不吃，我不饿。你吃吧。	Pán zi lǐ de yú nǐ bù chī ma? | Bù chī, wǒ bú è. Nǐ chī ba.	Aren't you going to eat the fish on the plate? | No, I'm not hungry. You have it.	أَلَنْ تَأْكُلَ السَّمَكَةَ الَّتِي فِي الصَّحْنِ؟ | لَا، لَسْتُ جَائِعًا. كُلْهَا أَنْتَ.	Alan taʾkula as-samakata allatī fī aṣ-ṣaḥn? | Lā, lastu jāʾiʿan. Kulhā anta.	verified	claude-blind,claude-review	
h3x010	你一共买了几个苹果？｜一共五个，都给你。	Nǐ yí gòng mǎi le jǐ gè píng guǒ? | Yí gòng wǔ gè, dōu gěi nǐ.	How many apples did you buy in all? | Five altogether, and they're all for you.	كَمْ تُفَّاحَةً اِشْتَرَيْتَ فِي الْمَجْمُوعِ؟ | خَمْسُ تُفَّاحَاتٍ، كُلُّهَا لَكَ.	Kam tuffāḥatan ishtarayta fī al-majmūʿ? | Khamsu tuffāḥāt, kulluhā lak.	verified	claude-blind,claude-review	
