id	script	reading	english	tags	status	checks	note
h2p001	我想吃面条。	Wǒ xiǎng chī miàn tiáo.	I want to eat noodles.	hungry	verified	claude-blind,claude-review	
h2p002	我想吃鸡蛋。	Wǒ xiǎng chī jī dàn.	I want to eat eggs.	hungry	verified	claude-blind,claude-review	
h2p003	我想喝牛奶。	Wǒ xiǎng hē niú nǎi.	I want to drink milk.	hungry	verified	claude-blind,claude-review	
h2p004	你有西瓜吗？	Nǐ yǒu xī guā ma?	Do you have any watermelon?	hungry	verified	claude-blind,claude-review	
h2p005	我想吃羊肉。	Wǒ xiǎng chī yáng ròu.	I want to eat lamb.	hungry	verified	claude-blind,claude-review	
h2p006	我要吃饭！	Wǒ yào chī fàn!	I want to eat!	hungry	verified	claude-blind,claude-review	
h2p007	我们什么时候吃饭？还要等吗？	Wǒ men shén me shí hou chī fàn? Hái yào děng ma?	When do we eat? Do we still have to wait?	hungry	verified	claude-blind,claude-review	
h2p008	有没有好吃的？	Yǒu méi yǒu hǎo chī de?	Is there anything tasty?	hungry	verified	claude-blind,claude-review	
h2p009	给我一点儿吃的吧。	Gěi wǒ yì diǎnr chī de ba.	Give me a little something to eat.	hungry	verified	claude-blind,claude-review	
h2p010	这儿有鱼吗？	Zhèr yǒu yú ma?	Is there any fish here?	hungry	verified	claude-blind,claude-review	
h2p011	我已经一天没吃东西了。	Wǒ yǐ jīng yì tiān méi chī dōng xi le.	I haven't eaten anything all day.	hungry	verified	claude-blind,claude-review	
h2p012	快给我吃的！	Kuài gěi wǒ chī de!	Quick, give me something to eat!	hungry	verified	claude-blind,claude-review	
h2p013	我可以吃这个吗？	Wǒ kě yǐ chī zhè ge ma?	Can I eat this?	hungry,chew	verified	claude-blind,claude-review	
h2p014	还有牛奶吗？	Hái yǒu niú nǎi ma?	Is there any milk left?	hungry	verified	claude-blind,claude-review	
h2p015	饭准备好了吗？	Fàn zhǔn bèi hǎo le ma?	Is the food ready?	hungry	verified	claude-blind,claude-review	
h2p016	我想吃苹果和西瓜。	Wǒ xiǎng chī píng guǒ hé xī guā.	I want to eat apples and watermelon.	hungry	verified	claude-blind,claude-review	
h2p017	我最喜欢吃鱼。	Wǒ zuì xǐ huan chī yú.	I like eating fish the most.	hungry,random	verified	claude-blind,claude-review	
h2p018	我要喝咖啡。	Wǒ yào hē kā fēi.	I want coffee.	hungry	verified	claude-blind,claude-review	
h2p019	我等了很长时间了。	Wǒ děng le hěn cháng shí jiān le.	I've been waiting a long time.	hungry,lonely	verified	claude-blind,claude-review	
h2p020	中午我们吃面条吧。	Zhōng wǔ wǒ men chī miàn tiáo ba.	Let's have noodles for lunch.	hungry,random	verified	claude-blind,claude-review	
h2p021	您好！	Nín hǎo!	Hello! (polite)	greet	verified	claude-blind,claude-review	
h2p022	欢迎！	Huān yíng!	Welcome!	greet	verified	claude-blind,claude-review	
h2p023	欢迎你来！	Huān yíng nǐ lái!	Glad you came!	greet	verified	claude-blind,claude-review	
h2p024	欢迎回来！	Huān yíng huí lái!	Welcome back!	greet	verified	claude-blind,claude-review	
h2p025	早上好！	Zǎo shang hǎo!	Good morning!	greet,wake	verified	claude-blind,claude-review	
h2p026	晚上好！	Wǎn shang hǎo!	Good evening!	greet	verified	claude-blind,claude-review	
h2p027	你身体好吗？	Nǐ shēn tǐ hǎo ma?	How is your health?	greet	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading says the same thing in other words (慢走 read literally as 'walk slowly' is the set farewell the gloss gives)
h2p028	你最近怎么样？	Nǐ zuì jìn zěn me yàng?	How have you been lately?	greet	verified	claude-blind,claude-review	
h2p029	大家好！	Dà jiā hǎo!	Hello, everyone!	greet	verified	claude-blind,claude-review	
h2p030	你也在这儿！	Nǐ yě zài zhèr!	You're here too!	greet	verified	claude-blind,claude-review	
h2p031	你今天忙吗？	Nǐ jīn tiān máng ma?	Are you busy today?	greet	verified	claude-blind,claude-review	
h2p032	您贵姓？	Nín guì xìng?	What is your surname? (polite)	greet	verified	claude-blind,claude-review	
h2p033	你睡得好吗？	Nǐ shuì de hǎo ma?	Did you sleep well?	greet,wake	verified	claude-blind,claude-review	
h2p034	你还在吗？	Nǐ hái zài ma?	Are you still there?	greet,lonely	verified	claude-blind,claude-review	
h2p035	我到了！	Wǒ dào le!	I've arrived!	greet	verified	claude-blind,claude-review	
h2p036	这个真好吃！	Zhè ge zhēn hǎo chī!	This is really tasty!	chew,fed	verified	claude-blind,claude-review	
h2p037	这个没有鱼好吃。	Zhè ge méi yǒu yú hǎo chī.	This isn't as tasty as fish.	chew	verified	claude-blind,claude-review	
h2p038	我吃完了！	Wǒ chī wán le!	I've finished eating!	chew	verified	claude-blind,claude-review	
h2p039	我还要吃。	Wǒ hái yào chī.	I want to eat more.	chew	verified	claude-blind,claude-review	
h2p040	真好吃！	Zhēn hǎo chī!	So tasty!	chew,fed	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading says the same thing in other words (慢走 read literally as 'walk slowly' is the set farewell the gloss gives)
h2p041	我正在吃东西呢。	Wǒ zhèng zài chī dōng xi ne.	I'm eating right now.	chew	verified	claude-blind,claude-review	
h2p042	别看我，我在吃。	Bié kàn wǒ, wǒ zài chī.	Don't look at me, I'm eating.	chew	verified	claude-blind,claude-review	
h2p043	这个比苹果好吃。	Zhè ge bǐ píng guǒ hǎo chī.	This is tastier than apples.	chew	verified	claude-blind,claude-review	
h2p044	我吃了两个。	Wǒ chī le liǎng gè.	I ate two.	chew	verified	claude-blind,claude-review	
h2p045	别吃那个！	Bié chī nà ge!	Don't eat that!	chew,random	verified	claude-blind,claude-review	
h2p046	我累了。	Wǒ lèi le.	I'm tired.	tired	verified	claude-blind,claude-review	
h2p047	我太累了。	Wǒ tài lèi le.	I'm too tired.	tired	verified	claude-blind,claude-review	
h2p048	我想休息一下。	Wǒ xiǎng xiū xi yí xià.	I want to rest for a bit.	tired	verified	claude-blind,claude-review	
h2p049	我要去睡觉了。	Wǒ yào qù shuì jiào le.	I'm going to bed.	tired	verified	claude-blind,claude-review	
h2p050	我已经很累了。	Wǒ yǐ jīng hěn lèi le.	I'm already very tired.	tired	verified	claude-blind,claude-review	
h2p051	我今天想早点儿休息。	Wǒ jīn tiān xiǎng zǎo diǎnr xiū xi.	I want to rest early today.	tired	verified	claude-blind,claude-review	
h2p052	让我休息一下吧。	Ràng wǒ xiū xi yí xià ba.	Let me rest for a bit.	tired	verified	claude-blind,claude-review	
h2p053	我今天非常累。	Wǒ jīn tiān fēi cháng lèi.	I'm extremely tired today.	tired	verified	claude-blind,claude-review	
h2p054	我不想起床。	Wǒ bù xiǎng qǐ chuáng.	I don't want to get up.	tired,wake	verified	claude-blind,claude-review	
h2p055	别说话，我想睡觉。	Bié shuō huà, wǒ xiǎng shuì jiào.	Don't talk, I want to sleep.	tired	verified	claude-blind,claude-review	
h2p056	我走不动了。	Wǒ zǒu bú dòng le.	I can't walk any further.	tired	verified	claude-blind,claude-review	
h2p057	我们休息一下吧。	Wǒ men xiū xi yí xià ba.	Let's take a break.	tired,random	verified	claude-blind,claude-review	
h2p058	我很快乐！	Wǒ hěn kuài lè!	I'm very happy!	happy	verified	claude-blind,claude-review	
h2p059	今天真好！	Jīn tiān zhēn hǎo!	Today is really great!	happy	verified	claude-blind,claude-review	
h2p060	我非常高兴！	Wǒ fēi cháng gāo xìng!	I'm extremely happy!	happy	verified	claude-blind,claude-review	
h2p061	我最喜欢你了！	Wǒ zuì xǐ huan nǐ le!	I like you the most!	happy,pet	verified	claude-blind,claude-review	
h2p062	你真好！	Nǐ zhēn hǎo!	You're really nice!	happy,fed	verified	claude-blind,claude-review	
h2p063	我觉得很好。	Wǒ jué de hěn hǎo.	I feel great.	happy	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading says the same thing in other words (慢走 read literally as 'walk slowly' is the set farewell the gloss gives)
h2p064	我想唱歌！	Wǒ xiǎng chàng gē!	I want to sing!	happy	verified	claude-blind,claude-review	
h2p065	我们一起跳舞吧！	Wǒ men yì qǐ tiào wǔ ba!	Let's dance together!	happy	verified	claude-blind,claude-review	
h2p066	你看，我在笑！	Nǐ kàn, wǒ zài xiào!	Look, I'm smiling!	happy	verified	claude-blind,claude-review	
h2p067	我每天都很快乐。	Wǒ měi tiān dōu hěn kuài lè.	I'm happy every day.	happy	verified	claude-blind,claude-review	
h2p068	生日快乐！	Shēng rì kuài lè!	Happy birthday!	happy,random	verified	claude-blind,claude-review	
h2p069	大家都去哪儿了？	Dà jiā dōu qù nǎr le?	Where did everyone go?	lonely	verified	claude-blind,claude-review	
h2p070	没有人和我玩。	Méi yǒu rén hé wǒ wán.	Nobody plays with me.	lonely	verified	claude-blind,claude-review	
h2p071	谁来和我玩？	Shéi lái hé wǒ wán?	Who will come and play with me?	lonely	verified	claude-blind,claude-review	
h2p072	我等你很长时间了。	Wǒ děng nǐ hěn cháng shí jiān le.	I've been waiting for you for a long time.	lonely	verified	claude-blind,claude-review	
h2p073	你什么时候回来？我等你。	Nǐ shén me shí hou huí lái? Wǒ děng nǐ.	When are you coming back? I'll wait for you.	lonely	verified	claude-blind,claude-review	
h2p074	我一个人，真没意思。	Wǒ yí gè rén, zhēn méi yì si.	On my own, it's really boring.	lonely	verified	claude-blind,claude-review	
h2p075	你们都很忙吗？	Nǐ men dōu hěn máng ma?	Are you all busy?	lonely	verified	claude-blind,claude-review	
h2p076	我想和大家一起玩。	Wǒ xiǎng hé dà jiā yì qǐ wán.	I want to play with everyone.	lonely	verified	claude-blind,claude-review	
h2p077	我想坐你旁边。	Wǒ xiǎng zuò nǐ páng biān.	I want to sit next to you.	lonely,pet	verified	claude-blind,claude-review	
h2p078	别这样！	Bié zhè yàng!	Don't do that!	grabbed,dropped	verified	claude-blind,claude-review	
h2p079	你要做什么？	Nǐ yào zuò shén me?	What are you going to do?	grabbed	verified	claude-blind,claude-review	
h2p080	我们要去哪儿？	Wǒ men yào qù nǎr?	Where are we going?	grabbed	verified	claude-blind,claude-review	
h2p081	太高了！	Tài gāo le!	Too high!	grabbed	verified	claude-blind,claude-review	
h2p082	让我下去！	Ràng wǒ xià qù!	Let me down!	grabbed	verified	claude-blind,claude-review	
h2p083	快让我下来！	Kuài ràng wǒ xià lái!	Quick, let me down!	grabbed	verified	claude-blind,claude-review	
h2p084	我不要！	Wǒ bú yào!	I don't want to!	grabbed	verified	claude-blind,claude-review	
h2p085	慢一点儿！	Màn yì diǎnr!	Slow down!	grabbed	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading says the same thing in other words (慢走 read literally as 'walk slowly' is the set farewell the gloss gives)
h2p086	你为什么这样做？	Nǐ wèi shén me zhè yàng zuò?	Why did you do that?	dropped	verified	claude-blind,claude-review	
h2p087	别再这样了！	Bié zài zhè yàng le!	Don't do that again!	dropped	verified	claude-blind,claude-review	
h2p088	这不对！	Zhè bú duì!	That's not right!	dropped	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading says the same thing in other words (慢走 read literally as 'walk slowly' is the set farewell the gloss gives)
h2p089	你做错了。	Nǐ zuò cuò le.	You did it wrong.	dropped	verified	claude-blind,claude-review	
h2p090	谢谢您！	Xiè xie nín!	Thank you! (polite)	fed	verified	claude-blind,claude-review	
h2p091	真好吃，谢谢！	Zhēn hǎo chī, xiè xie!	Really tasty, thanks!	fed	verified	claude-blind,claude-review	
h2p092	我最喜欢吃这个。	Wǒ zuì xǐ huan chī zhè ge.	This is my favourite thing to eat.	fed	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading says the same thing in other words (慢走 read literally as 'walk slowly' is the set farewell the gloss gives)
h2p093	我还想吃！	Wǒ hái xiǎng chī!	I want more!	fed	verified	claude-blind,claude-review	
h2p094	我吃得很好。	Wǒ chī de hěn hǎo.	I ate well.	fed	verified	claude-blind,claude-review	
