id	script	reading	english	gloss	gloss_reading	status	checks	note
w001	爱	ài	love	أَحَبَّ	Aḥabb	verified	claude-blind,claude-review	
w002	八	bā	eight	ثَمَانِيَةٌ	Thamāniya	verified	claude-blind,claude-review	
w003	爸爸	bà ba	dad	أَبٌ	Ab	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading means the same as the English
w004	杯子	bēi zi	cup	كُوبٌ	Kūb	verified	claude-blind,claude-review	
w005	北京	běi jīng	Beijing	بِكِينُ	Bikīn	verified	claude-blind,claude-review	
w006	本	běn	(measure word for books)	(كَلِمَةُ عَدٍّ لِلْكُتُبِ)	(kalimatu ʿaddin li-l-kutub)	verified	claude-blind,claude-review	
w007	不客气	bú kè qi	you're welcome	عَفْوًا	ʿAfwan	verified	claude-review,claude-adjudicated	settled by claude-adjudicated: blind reading means the same as the English
w008	不	bù	not; no	(أَدَاةُ نَفْيٍ)؛ لَا	(adātu nafy); lā	verified	claude-blind,claude-review	
w009	菜	cài	dish; vegetable	طَبَقٌ؛ خُضَارٌ	Ṭabaq; khuḍār	verified	claude-blind,claude-review	
w010	茶	chá	tea	شَايٌ	Shāy	verified	claude-blind,claude-review	
w011	吃	chī	to eat	أَكَلَ	Akal	verified	claude-blind,claude-review	
w012	出租车	chū zū chē	taxi	سَيَّارَةُ أُجْرَةٍ	Sayyāratu ujra	verified	claude-blind,claude-review	
w013	打电话	dǎ diàn huà	to make a phone call	هَاتَفَ	Hātaf	verified	claude-blind,claude-review	
w014	大	dà	big	كَبِيرٌ	Kabīr	verified	claude-blind,claude-review	
w015	的	de	(possessive particle)	(أَدَاةُ الْمِلْكِيَّةِ)	(adātu al-milkiyya)	verified	claude-blind,claude-review	
w016	点	diǎn	o'clock; a little	(كَلِمَةٌ لِلسَّاعَةِ)؛ قَلِيلٌ	(kalimatun li-s-sāʿa); qalīl	conflict		reviewer proposed a fix (point (o'clock) needs a head noun; bare (li-s-saa'a) is a stray phrase, unlike the other measure-word glosses); blind reading was "(for telling time); a little" · re-check next round
w017	电脑	diàn nǎo	computer	حَاسُوبٌ	Ḥāsūb	verified	claude-blind,claude-review	
w018	电视	diàn shì	television	تِلْفَازٌ	Tilfāz	verified	claude-blind,claude-review	
w019	电影	diàn yǐng	film	فِيلْمٌ	Fīlm	verified	claude-blind,claude-review	
w020	东西	dōng xi	thing	شَيْءٌ	Shayʾ	verified	claude-blind,claude-review	
w021	都	dōu	all; both	كُلٌّ؛ كِلَا	Kull; kilā	verified	claude-blind,claude-review	
w022	读	dú	to read	قَرَأَ	Qaraʾ	verified	claude-blind,claude-review	
w023	对不起	duì bu qǐ	sorry	آسِفٌ	Āsif	verified	claude-blind,claude-review	
w024	多	duō	many; much	كَثِيرٌ	Kathīr	verified	claude-blind,claude-review	
w025	多少	duō shao	how many; how much	كَمْ	Kam	verified	claude-blind,claude-review	
w026	儿子	ér zi	son	اِبْنٌ	Ibn	verified	claude-blind,claude-review	
w027	二	èr	two	اِثْنَانِ	Ithnān	verified	claude-blind,claude-review	
w028	饭店	fàn diàn	restaurant; hotel	مَطْعَمٌ؛ فُنْدُقٌ	Maṭʿam; funduq	verified	claude-blind,claude-review	
w029	飞机	fēi jī	aeroplane	طَائِرَةٌ	Ṭāʾira	verified	claude-blind,claude-review	
w030	分钟	fēn zhōng	minute	دَقِيقَةٌ	Daqīqa	verified	claude-blind,claude-review	
w031	高兴	gāo xìng	happy	سَعِيدٌ	Saʿīd	verified	claude-blind,claude-review	
w032	个	gè	(general measure word)	(كَلِمَةُ عَدٍّ عَامَّةٌ)	(kalimatu ʿaddin ʿāmma)	verified	claude-blind,claude-review	
w033	工作	gōng zuò	work; to work	عَمَلٌ؛ عَمِلَ	ʿAmal; ʿamil	verified	claude-blind,claude-review	
w034	狗	gǒu	dog	كَلْبٌ	Kalb	verified	claude-blind,claude-review	
